model,noise_level,dt,rollout_rmse,rollout_mae
mlp,0.0,0.01,2.8963001899688923,1.0256677590880443
mlp,0.01,0.01,2.9028834242970225,1.0210483275420728
mlp,0.05,0.01,2.939171603512878,1.0172451452517255
mlp,0.0,0.02,10.074578679029383,7.494688238270312
mlp,0.01,0.02,10.074674692677936,7.494915554212355
mlp,0.05,0.02,10.076562719866795,7.4968954556648955
resnet,0.0,0.01,1.7147655200450331,0.5916797120839139
resnet,0.01,0.01,1.739980073518554,0.6022620769162078
resnet,0.05,0.01,1.8427730333117494,0.6492311859362435
resnet,0.0,0.02,10.278789831096338,7.619558392517453
resnet,0.01,0.02,10.278725278597411,7.61955357802284
resnet,0.05,0.02,10.27843141637868,7.619832624852601
neural_ode,0.0,0.01,0.8905102924736978,0.5114632861456174
neural_ode,0.01,0.01,0.8722124106343568,0.49986693091161594
neural_ode,0.05,0.01,0.845497082694888,0.4862485982156788
neural_ode,0.0,0.02,2.466759483597373,0.9873793473861561
neural_ode,0.01,0.02,2.5441762764276104,1.0289145683706362
neural_ode,0.05,0.02,2.873846250224538,1.2023146655530457
